Season,Lg,Player,Draft Year,Draft Pick,Years Before 1st MVP,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,MVP Position,MVP Nationality,Finals Finish,MVP Height (ft),Wins,Losses,Win %,Conf Seed,College
1990,NBA,Magic Johnson,1979,1,,30,LAL,79,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,0.27,Guard,US,Did not reach Finals,6.76,63,19,0.768,1,Michigan State University
1989,NBA,Magic Johnson,1979,1,,29,LAL,77,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267,Guard,US,Lost in Finals,6.76,57,25,0.695,1,Michigan State University
1988,NBA,Michael Jordan,1984,3,4,24,CHI,82,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308,Guard,US,Did not reach Finals,6.5,50,32,0.61,3,"University of North Carolina, Chapel Hill"
1987,NBA,Magic Johnson,1979,1,8,27,LAL,80,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263,Guard,US,Won Finals,6.76,65,17,0.793,1,Michigan State University
1986,NBA,Larry Bird,1978,6,,29,BOS,82,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244,Forward,US,Won Finals,6.76,67,15,0.817,1,Indiana State University
1985,NBA,Larry Bird,1978,6,,28,BOS,80,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,15.7,0.238,Forward,US,Lost in Finals,6.76,63,19,0.768,1,Indiana State University
1984,NBA,Larry Bird,1978,6,6,27,BOS,79,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,0.215,Forward,US,Won Finals,6.76,62,20,0.756,1,Indiana State University
1983,NBA,Moses Malone,1974,3,,27,PHI,78,37.5,24.5,15.3,1.3,1.1,2,0.501,0,0.761,15.1,0.248,Center,US,Won Finals,6.82,65,17,0.793,1,No College
1982,NBA,Moses Malone,1974,3,,26,HOU,81,42,31.1,14.7,1.8,0.9,1.5,0.519,0,0.762,15.4,0.218,Center,US,Did not reach Finals,6.82,46,36,0.561,6,No College
1981,NBA,Julius Erving,1972,12,9,30,PHI,82,35,24.6,8,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231,Forward,US,Did not reach Finals,6.59,62,20,0.756,3,"University of Massachusetts, Amherst"
1980,NBA,Kareem Abdul-Jabbar,1969,1,,32,LAL,82,38.3,24.8,10.8,4.5,1,3.4,0.604,0,0.765,14.8,0.227,Center,US,Won Finals,7.15,60,22,0.732,1,"University of California, Los Angeles"
1979,NBA,Moses Malone,1974,3,5,23,HOU,82,41.3,24.8,17.6,1.8,1,1.5,0.54,,0.739,14.1,0.2,Center,US,Did not reach Finals,6.82,47,35,0.573,4,No College
1978,NBA,Bill Walton,1974,1,4,25,POR,58,33.3,18.9,13.2,5,1,2.5,0.522,,0.72,8.4,0.209,Center,US,Did not reach Finals,6.92,58,24,0.707,1,"University of California, Los Angeles"
1977,NBA,Kareem Abdul-Jabbar,1969,1,,29,LAL,82,36.8,26.2,13.3,3.9,1.2,3.2,0.579,,0.701,17.8,0.283,Center,US,Did not reach Finals,7.15,53,29,0.646,1,"University of California, Los Angeles"
1976,NBA,Kareem Abdul-Jabbar,1969,1,7,28,LAL,82,41.2,27.7,16.9,5,1.5,4.1,0.529,,0.703,17,0.242,Center,US,Did not reach Finals,7.15,40,42,0.488,6,"University of California, Los Angeles"
